Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
116.29,3.58,7.22,um,Surface,Position,7,1000000000,240
290.73,66.26,7.16,um,Surface,Position,7,1000000001,242
343.12,122.21,8.93,um,Surface,Position,7,1000000002,244
186.92,137.62,11.47,um,Surface,Position,7,1000000003,245
260.48,216.19,11.85,um,Surface,Position,7,1000000004,246
328.3,251.55,13.5,um,Surface,Position,7,1000000005,247
77.41,269.09,6.22,um,Surface,Position,7,1000000006,248
96.56,294.72,13.79,um,Surface,Position,7,1000000007,249
268.24,314.11,6.78,um,Surface,Position,7,1000000008,250
319,331.21,8.51,um,Surface,Position,7,1000000009,252
78.63,322.9,3.95,um,Surface,Position,7,1000000010,251
166.22,334.79,6.13,um,Surface,Position,7,1000000011,253
371.22,357.21,5.56,um,Surface,Position,7,1000000012,254
259.75,379.6,20.92,um,Surface,Position,7,1000000013,256
239.67,13.54,13.69,um,Surface,Position,7,1000000014,241
75.97,140.74,19.56,um,Surface,Position,7,1000000015,257
311.9,93.61,31.3,um,Surface,Position,7,1000000016,263
246.55,131.39,26.57,um,Surface,Position,7,1000000017,261
193.35,48.55,37.71,um,Surface,Position,7,1000000018,269
22,208.35,28.46,um,Surface,Position,7,1000000019,262
268.64,131.28,29.01,um,Surface,Position,7,1000000020,267
19.02,174.56,19.82,um,Surface,Position,7,1000000021,259
356.47,242.9,46.11,um,Surface,Position,7,1000000022,271
10.96,35.68,28.6,um,Surface,Position,7,1000000023,266
115.85,377.43,48.02,um,Surface,Position,7,1000000024,273
322.03,174.98,34.09,um,Surface,Position,7,1000000025,270
65.98,181.24,38.77,um,Surface,Position,7,1000000026,265
246.13,312.69,45.63,um,Surface,Position,7,1000000027,274
206.6,335.03,42.77,um,Surface,Position,7,1000000028,275
242.28,354.39,44.98,um,Surface,Position,7,1000000029,276
195.24,300.45,58.28,um,Surface,Position,7,1000000030,281
15.41,151.97,50.7,um,Surface,Position,7,1000000031,277
131.02,84.95,55.01,um,Surface,Position,7,1000000032,278
284.7,209.94,59.82,um,Surface,Position,7,1000000033,282
344.18,55.96,59.17,um,Surface,Position,7,1000000034,283
169.78,192.39,58.62,um,Surface,Position,7,1000000035,284
139.44,201.55,57.22,um,Surface,Position,7,1000000036,280
293.89,314.42,16.77,um,Surface,Position,7,1000000037,258
84.14,380.89,15.6,um,Surface,Position,7,1000000038,255
385.33,225.36,30.8,um,Surface,Position,7,1000000039,268
178.6,382.2,38.05,um,Surface,Position,7,1000000040,272
133.05,107.82,3.35,um,Surface,Position,7,1000000041,243
144.95,220.59,24.21,um,Surface,Position,7,1000000042,260
260.11,295.61,53.38,um,Surface,Position,7,1000000043,279
351.12,156.02,26.27,um,Surface,Position,7,1000000044,264
116.17,3.6,7.48,um,Surface,Position,8,1000000000,285
290.03,67.02,7.26,um,Surface,Position,8,1000000001,287
342.74,122.54,9.04,um,Surface,Position,8,1000000002,289
187.43,138.2,12.11,um,Surface,Position,8,1000000003,290
259.34,216.3,11.01,um,Surface,Position,8,1000000004,291
330.16,253.02,13.46,um,Surface,Position,8,1000000005,292
78.06,270.02,6,um,Surface,Position,8,1000000006,293
96,293.49,14.27,um,Surface,Position,8,1000000007,294
267.6,316.29,8.19,um,Surface,Position,8,1000000008,295
318.64,330.87,7.87,um,Surface,Position,8,1000000009,297
72.95,321.3,2.86,um,Surface,Position,8,1000000010,296
165.14,335.6,5.97,um,Surface,Position,8,1000000011,298
371.12,356.66,4.6,um,Surface,Position,8,1000000012,299
259.9,380.18,20.63,um,Surface,Position,8,1000000013,300
239.15,13.44,13.2,um,Surface,Position,8,1000000014,286
76.04,139.21,20.26,um,Surface,Position,8,1000000015,301
312.16,94,31.14,um,Surface,Position,8,1000000016,307
246.7,130.82,29.24,um,Surface,Position,8,1000000017,310
195.6,48.27,39.08,um,Surface,Position,8,1000000018,316
23.23,208.57,29.02,um,Surface,Position,8,1000000019,309
267.06,131.01,28.2,um,Surface,Position,8,1000000020,312
19.57,175.12,20.05,um,Surface,Position,8,1000000021,303
356.57,243.38,46.13,um,Surface,Position,8,1000000022,315
12.26,32.22,27.35,um,Surface,Position,8,1000000023,311
114.64,380.33,51.05,um,Surface,Position,8,1000000024,321
321.04,175.66,33.63,um,Surface,Position,8,1000000025,314
65.16,181.05,37.67,um,Surface,Position,8,1000000026,306
245.04,311.96,44.69,um,Surface,Position,8,1000000027,318
205.21,334.47,43.78,um,Surface,Position,8,1000000028,319
243.29,354.32,43.87,um,Surface,Position,8,1000000029,320
194.27,295.41,57.74,um,Surface,Position,8,1000000030,328
18.28,149.37,49.91,um,Surface,Position,8,1000000031,324
130.21,82.31,52.8,um,Surface,Position,8,1000000032,323
284.69,209.38,58.96,um,Surface,Position,8,1000000033,329
344.11,57.96,59.66,um,Surface,Position,8,1000000034,330
171.92,192.77,56.3,um,Surface,Position,8,1000000035,326
138.99,199.73,57.52,um,Surface,Position,8,1000000036,327
293.23,315.76,16.95,um,Surface,Position,8,1000000037,302
75.04,382.72,23.96,um,Surface,Position,8,1000000038,305
385.83,226.08,31.54,um,Surface,Position,8,1000000039,313
177.9,380.59,38.67,um,Surface,Position,8,1000000040,317
132.72,107.96,3.51,um,Surface,Position,8,1000000041,288
145.51,220.77,23.81,um,Surface,Position,8,1000000042,304
262.79,301.29,52,um,Surface,Position,8,1000000043,325
354.61,157.02,25.42,um,Surface,Position,8,1000000044,308
229.87,50.88,46.46,um,Surface,Position,8,1000000045,322
115.24,3.6,7.95,um,Surface,Position,9,1000000000,331
291.99,68.29,7.79,um,Surface,Position,9,1000000001,333
341.55,122.85,9.63,um,Surface,Position,9,1000000002,335
187.54,139.54,13.36,um,Surface,Position,9,1000000003,336
259.14,215.51,10.08,um,Surface,Position,9,1000000004,337
333.15,253.72,13.5,um,Surface,Position,9,1000000005,338
78.73,269.45,5.65,um,Surface,Position,9,1000000006,340
96.34,292.19,15.51,um,Surface,Position,9,1000000007,341
267.18,316.73,8.84,um,Surface,Position,9,1000000008,342
319.17,331.1,6.7,um,Surface,Position,9,1000000009,344
69.7,323.79,3,um,Surface,Position,9,1000000010,343
164.53,335.74,6.15,um,Surface,Position,9,1000000011,345
371.61,356.47,4.31,um,Surface,Position,9,1000000012,346
264.27,381.14,20.27,um,Surface,Position,9,1000000013,347
239.42,13.58,13.26,um,Surface,Position,9,1000000014,332
75.19,138.82,21.45,um,Surface,Position,9,1000000015,350
313.31,93.75,30.63,um,Surface,Position,9,1000000016,359
246.15,129.52,29.51,um,Surface,Position,9,1000000017,356
196.43,46.64,40.02,um,Surface,Position,9,1000000018,365
23.84,209.7,28.91,um,Surface,Position,9,1000000019,357
267.03,131.5,28.2,um,Surface,Position,9,1000000020,360
20.74,176.13,18.63,um,Surface,Position,9,1000000021,348
356.96,243.46,45.93,um,Surface,Position,9,1000000022,363
10.99,30.7,26.49,um,Surface,Position,9,1000000023,358
112.59,382.01,53.33,um,Surface,Position,9,1000000024,370
320.37,174.93,33.53,um,Surface,Position,9,1000000025,362
65.08,180.81,37.04,um,Surface,Position,9,1000000026,352
244.29,311.35,44.48,um,Surface,Position,9,1000000027,366
204.37,334.44,43.77,um,Surface,Position,9,1000000028,367
245.33,353.08,42.96,um,Surface,Position,9,1000000029,368
193.8,292.81,58.32,um,Surface,Position,9,1000000030,376
19.44,150.75,50.02,um,Surface,Position,9,1000000031,373
127.77,77.73,52.85,um,Surface,Position,9,1000000032,371
289.09,201.41,59.41,um,Surface,Position,9,1000000033,377
344,59.13,60.27,um,Surface,Position,9,1000000034,378
170.73,191.87,53.55,um,Surface,Position,9,1000000035,374
138.79,198.63,58.02,um,Surface,Position,9,1000000036,375
292.35,317.37,16.8,um,Surface,Position,9,1000000037,349
74.03,383.48,22.76,um,Surface,Position,9,1000000038,351
386.54,228.97,31.1,um,Surface,Position,9,1000000039,361
177.18,378.3,37.52,um,Surface,Position,9,1000000040,364
132.89,108.04,3.36,um,Surface,Position,9,1000000041,334
144.84,220.54,23.89,um,Surface,Position,9,1000000042,354
265.61,299.52,51.24,um,Surface,Position,9,1000000043,372
354.61,156.4,25.18,um,Surface,Position,9,1000000044,353
229.62,50.79,46.9,um,Surface,Position,9,1000000045,369
2.75,260.41,4.65,um,Surface,Position,9,1000000046,339
215.08,357.5,24.68,um,Surface,Position,9,1000000047,355
115.85,3.91,7.65,um,Surface,Position,10,1000000000,379
293.56,70.63,8.2,um,Surface,Position,10,1000000001,381
187.26,139.46,13.08,um,Surface,Position,10,1000000003,383
259.81,215.58,9.68,um,Surface,Position,10,1000000004,384
335.63,254.72,14.42,um,Surface,Position,10,1000000005,385
78.73,268.68,5.53,um,Surface,Position,10,1000000006,387
98.72,291.96,17.55,um,Surface,Position,10,1000000007,394
265.87,316.9,8.92,um,Surface,Position,10,1000000008,388
320.92,324.02,6.45,um,Surface,Position,10,1000000009,389
69.55,327.14,3.74,um,Surface,Position,10,1000000010,390
165.04,335.87,5.09,um,Surface,Position,10,1000000011,391
370.76,356.36,3.72,um,Surface,Position,10,1000000012,392
264.77,381.3,19.47,um,Surface,Position,10,1000000013,393
239.51,13.75,13.19,um,Surface,Position,10,1000000014,380
74.09,138.74,23.36,um,Surface,Position,10,1000000015,397
315.71,92.91,29.04,um,Surface,Position,10,1000000016,405
245.75,127.82,29.58,um,Surface,Position,10,1000000017,407
195.62,44.92,40.1,um,Surface,Position,10,1000000018,411
24.28,211.23,28.41,um,Surface,Position,10,1000000019,403
266.39,131.64,28.28,um,Surface,Position,10,1000000020,406
23.33,174.84,17.98,um,Surface,Position,10,1000000021,395
356.77,242.96,46.15,um,Surface,Position,10,1000000022,410
9.64,28.91,25.6,um,Surface,Position,10,1000000023,401
108.27,383.95,51.95,um,Surface,Position,10,1000000024,415
319.02,173.9,33.26,um,Surface,Position,10,1000000025,408
