Position X,Position Y,Position Z,Unit,Category,Collection,Time,Parent,ID
174.44,230.71,54.24,um,Surface,Position,5,1000000039,222
100.55,184.43,59.52,um,Surface,Position,5,1000000040,223
29.35,190.47,56.75,um,Surface,Position,5,1000000041,221
64.02,315.03,57.99,um,Surface,Position,5,1000000042,224
310.83,276.18,43.66,um,Surface,Position,5,1000000043,217
102.44,211.8,4.76,um,Surface,Position,5,1000000044,181
245.38,122.81,21.56,um,Surface,Position,5,1000000045,203
242.93,138.37,33.16,um,Surface,Position,5,1000000046,205
309.25,230.6,29.41,um,Surface,Position,5,1000000047,209
63.77,6.19,38.11,um,Surface,Position,5,1000000048,213
182.53,386.6,51.56,um,Surface,Position,5,1000000049,220
156.18,135.27,62.74,um,Surface,Position,5,1000000050,225
103.81,303.17,63.51,um,Surface,Position,5,1000000051,226
361.96,12.95,12.92,um,Surface,Position,6,1000000000,228
254.1,23.88,11.68,um,Surface,Position,6,1000000001,229
82.34,88.08,5.26,um,Surface,Position,6,1000000002,231
371.23,122.91,10.31,um,Surface,Position,6,1000000003,233
362.82,258.24,7.52,um,Surface,Position,6,1000000004,236
12.16,267.4,6.83,um,Surface,Position,6,1000000005,237
274.38,278.65,4.06,um,Surface,Position,6,1000000006,239
66.41,280.12,7.17,um,Surface,Position,6,1000000007,238
287.05,344.15,3.79,um,Surface,Position,6,1000000008,240
34.69,380.53,4.06,um,Surface,Position,6,1000000009,241
46.71,156.71,23.09,um,Surface,Position,6,1000000010,248
122.74,24.3,7.14,um,Surface,Position,6,1000000011,230
60.58,37.8,13.09,um,Surface,Position,6,1000000012,243
249.07,73.33,14.52,um,Surface,Position,6,1000000013,245
326.26,101.04,13.05,um,Surface,Position,6,1000000014,232
174,65.41,16.92,um,Surface,Position,6,1000000015,244
142.65,100.06,19.32,um,Surface,Position,6,1000000016,246
115.05,174.71,11.21,um,Surface,Position,6,1000000017,242
336.91,193.53,19.11,um,Surface,Position,6,1000000018,250
133.95,351.25,19.82,um,Surface,Position,6,1000000019,249
364.3,82.07,21.75,um,Surface,Position,6,1000000020,247
302.59,372.01,22.59,um,Surface,Position,6,1000000021,252
104.29,83.59,25.13,um,Surface,Position,6,1000000022,255
214.47,222.73,19.72,um,Surface,Position,6,1000000023,235
249.67,251.9,23.67,um,Surface,Position,6,1000000024,257
221.24,358.77,26.98,um,Surface,Position,6,1000000025,256
251.09,156.29,30.08,um,Surface,Position,6,1000000026,259
87.55,334.1,24.41,um,Surface,Position,6,1000000027,254
361.89,223.87,22.08,um,Surface,Position,6,1000000028,251
91.05,5.73,32.39,um,Surface,Position,6,1000000029,260
3.8,257.14,37.54,um,Surface,Position,6,1000000030,265
219.81,272.92,30.63,um,Surface,Position,6,1000000031,261
311.84,194.52,43.82,um,Surface,Position,6,1000000032,263
15.38,225.4,39.36,um,Surface,Position,6,1000000033,264
133.37,263.58,44.37,um,Surface,Position,6,1000000034,268
164.21,191.12,43.01,um,Surface,Position,6,1000000035,267
384.12,76.99,47.76,um,Surface,Position,6,1000000036,270
257.2,91.49,45.79,um,Surface,Position,6,1000000037,271
123.5,55.79,49.01,um,Surface,Position,6,1000000038,272
173.45,232.2,55.07,um,Surface,Position,6,1000000039,273
100.68,182.47,60.25,um,Surface,Position,6,1000000040,276
28.87,191.46,56.99,um,Surface,Position,6,1000000041,275
63.99,314.18,59.5,um,Surface,Position,6,1000000042,277
299.32,280.32,43.33,um,Surface,Position,6,1000000043,269
101.61,211.89,5.21,um,Surface,Position,6,1000000044,234
243.49,121.41,21.54,um,Surface,Position,6,1000000045,253
242.09,138.79,32.84,um,Surface,Position,6,1000000046,258
308.02,228.51,28.52,um,Surface,Position,6,1000000047,262
66.4,9.24,37.01,um,Surface,Position,6,1000000048,266
181.79,385.63,51.07,um,Surface,Position,6,1000000049,274
157.33,136.62,63.09,um,Surface,Position,6,1000000050,279
103.74,301.69,62.65,um,Surface,Position,6,1000000051,278
2.44,18.26,2.29,um,Surface,Position,6,1000000052,227
359.75,14.08,14.53,um,Surface,Position,7,1000000000,281
254.49,24.46,12.08,um,Surface,Position,7,1000000001,284
82.63,88.18,5.04,um,Surface,Position,7,1000000002,285
370.47,123.12,10.09,um,Surface,Position,7,1000000003,287
362.6,257.87,7.37,um,Surface,Position,7,1000000004,292
10.82,266.64,7.61,um,Surface,Position,7,1000000005,294
273.31,277.78,3.96,um,Surface,Position,7,1000000006,295
63.68,274.13,7.42,um,Surface,Position,7,1000000007,293
287.71,344.37,4.3,um,Surface,Position,7,1000000008,296
33.3,380.32,4.53,um,Surface,Position,7,1000000009,297
46.97,153.44,24.45,um,Surface,Position,7,1000000010,304
125.55,23.95,8.96,um,Surface,Position,7,1000000011,283
59.69,31.29,11.03,um,Surface,Position,7,1000000012,282
246.43,71.51,14.81,um,Surface,Position,7,1000000013,300
327.55,101.36,13.18,um,Surface,Position,7,1000000014,286
174.77,65.31,16.28,um,Surface,Position,7,1000000015,299
143.7,104.88,19.56,um,Surface,Position,7,1000000016,301
115.14,171.83,10.33,um,Surface,Position,7,1000000017,288
336.55,192.98,19.07,um,Surface,Position,7,1000000018,302
130.45,352.62,19.49,um,Surface,Position,7,1000000019,306
366.43,83.2,21.19,um,Surface,Position,7,1000000020,303
305.49,371.49,23.2,um,Surface,Position,7,1000000021,307
